ID,Vehicles
20170701001,70.121980918
20170701011,58.7636079363
20170701021,46.6071517937
20170701031,39.0265030559
20170701041,32.0895883429
20170701051,30.8092281
20170701061,32.5868130334
20170701071,36.3596727941
20170701081,40.8408716138
20170701091,48.9155785146
20170701101,54.6272425183
20170701111,60.0800596876
20170701121,60.2488885688
20170701131,56.0494723613
20170701141,59.6087792235
20170701151,59.4090770844
20170701161,58.5065542032
20170701171,58.6335727635
20170701181,61.2829563361
20170701191,66.4919427998
20170701201,68.2006248742
20170701211,62.3116693412
20170701221,62.9620549073
20170701231,62.940053441
20170702001,49.18911829
20170702011,40.9643894991
20170702021,33.6249666993
20170702031,28.757497936
20170702041,24.2435316883
20170702051,22.7765294956
20170702061,25.6663133072
20170702071,30.7244465181
20170702081,34.3576389275
20170702091,44.9407832677
20170702101,46.8730612455
20170702111,51.3445536041
20170702121,51.8004474939
20170702131,48.8181808318
20170702141,53.1309305291
20170702151,53.4296631622
20170702161,52.4320608051
20170702171,54.2536869587
20170702181,61.6734317848
20170702191,69.6294874419
20170702201,68.3734255462
20170702211,63.8687104366
20170702221,65.7907156229
20170702231,64.5559453635
20170703001,55.3499998835
20170703011,47.4517555475
20170703021,41.1704638478
20170703031,36.8301559999
20170703041,32.5651930885
20170703051,32.8800852326
20170703061,38.1350299655
20170703071,45.5004536894
20170703081,51.7645200634
20170703091,63.4012824877
20170703101,88.8190726707
20170703111,104.876894306
20170703121,105.45573097
20170703131,99.0550955966
20170703141,107.11631144
20170703151,107.256762741
20170703161,105.078380416
20170703171,105.744976285
20170703181,108.204970384
20170703191,112.061828402
20170703201,109.095312847
20170703211,100.492339863
20170703221,97.9620828378
20170703231,94.2209926874
20170704001,79.3250077241
20170704011,68.5276113111
20170704021,56.8744422882
20170704031,48.5781122951
20170704041,41.6274621522
20170704051,40.9673059396
20170704061,46.2314763217
20170704071,53.15054337
20170704081,58.7156697037
20170704091,69.2774660003
20170704101,94.9409358023
20170704111,108.745522764
20170704121,109.646507093
20170704131,103.838164156
20170704141,112.072253346
20170704151,112.043161287
20170704161,109.59901737
20170704171,110.265613238
20170704181,112.193233627
20170704191,115.76301756
20170704201,112.705269552
20170704211,102.380649896
20170704221,99.7640469394
20170704231,95.4121309046
20170705001,81.3472800799
20170705011,70.1869570901
20170705021,58.1123722596
20170705031,49.3606098477
20170705041,42.4205193976
20170705051,41.8373004412
20170705061,46.7357242602
20170705071,53.5041798462
20170705081,58.999265815
20170705091,69.1953726759
20170705101,94.281123823
20170705111,107.367789764
20170705121,108.216716228
20170705131,102.202594037
20170705141,110.484198737
20170705151,110.38307969
20170705161,107.487641834
20170705171,108.0022105
20170705181,110.251799625
20170705191,113.333748546
20170705201,110.643743143
20170705211,100.44073759
20170705221,97.8241346333
20170705231,93.7863691936
20170706001,81.4843736538
20170706011,70.2938108653
20170706021,58.260928837
20170706031,49.5091664251
20170706041,42.5920269439
20170706051,41.9671051853
20170706061,46.8628080032
20170706071,53.6312635892
20170706081,59.058452337
20170706091,69.3323922503
20170706101,94.4269287481
20170706111,107.540782183
20170706121,108.333890453
20170706131,102.210606453
20170706141,110.434446825
20170706151,110.333799127
20170706161,107.325780896
20170706171,107.886770302
20170706181,110.352889565
20170706191,112.935514547
20170706201,110.157491436
20170706211,99.8333516192
20170706221,97.1159118123
20170706231,93.1305278859
20170707001,80.2630395408
20170707011,69.027914103
20170707021,56.9578147367
20170707031,48.2784780982
20170707041,41.3195087624
20170707051,40.3573576004
20170707061,44.9803732585
20170707071,51.6833637044
20170707081,56.9545031725
20170707091,66.7945433421
20170707101,88.1676000564
20170707111,98.1605771928
20170707121,98.9478454169
20170707131,91.4526732895
20170707141,98.4830580704
20170707151,98.149275974
20170707161,95.4403166412
20170707171,95.2922214507
20170707181,97.4596819655
20170707191,99.8832048401
20170707201,97.450860764
20170707211,87.0660511853
20170707221,85.0765101254
20170707231,81.9025582173
20170708001,69.7712897569
20170708011,58.656662171
20170708021,46.6556439949
20170708031,39.0909597372
20170708041,32.2416928713
20170708051,30.8602550991
20170708061,33.040103958
20170708071,36.8129637187
20170708081,41.1047011071
20170708091,49.117875062
20170708101,55.0893925696
20170708111,61.0901919913
20170708121,61.0632956493
20170708131,56.1637698794
20170708141,59.7244923933
20170708151,59.3345127304
20170708161,57.9715818904
20170708171,57.9358979459
20170708181,61.0187370922
20170708191,65.1930236825
20170708201,66.9017057569
20170708211,60.5052623526
20170708221,61.3366928514
20170708231,61.1216368502
20170709001,49.4711836477
20170709011,41.9632191053
20170709021,34.5740627858
20170709031,29.7225585027
20170709041,25.208592255
20170709051,23.7954290869
20170709061,26.7249014266
20170709071,31.8918087074
20170709081,35.8296331173
20170709091,46.565018177
20170709101,49.3086239428
20170709111,53.9655541971
20170709121,54.401412853
20170709131,50.7419684573
20170709141,55.3679467988
20170709151,55.561774904
20170709161,54.8049235438
20170709171,56.5326126007
20170709181,64.2049020412
20170709191,72.680414628
20170709201,71.5592271977
20170709211,66.4227518818
20170709221,67.4003424882
20170709231,65.6647674971
20170710001,55.7278997799
20170710011,48.6055073945
20170710021,42.2744821751
20170710031,37.9501388074
20170710041,33.685175896
20170710051,34.0539070646
20170710061,39.1245513515
20170710071,46.3761707281
20170710081,52.9235906113
20170710091,64.9813872232
20170710101,90.7131798038
20170710111,107.118244738
20170710121,107.677046168
20170710131,101.426234418
20170710141,109.213769469
20170710151,109.249316242
20170710161,107.238184748
20170710171,107.864957954
20170710181,110.57872529
20170710191,114.697227604
20170710201,112.030711376
20170710211,102.695112475
20170710221,100.169694198
20170710231,96.0165060916
20170711001,80.5049326091
20170711011,69.6650914072
20170711021,57.9657926076
20170711031,49.6854270947
20170711041,42.7347769519
20170711051,41.877380331
20170711061,46.9384574119
20170711071,53.7437201129
20170711081,59.3088464466
20170711091,69.879722525
20170711101,95.5957843436
20170711111,109.960465774
20170711121,110.828852135
20170711131,104.775057668
20170711141,113.06967441
20170711151,112.935677824
20170711161,110.658784737
